Date,Open,High,Low,Close,AdjClose,Volume
21-08-2017,0.001731,0.001845,0.001722,0.00176,0.00176,11627730
28-08-2017,0.001764,0.002701,0.001751,0.002153,0.002153,89730630
04-09-2017,0.002169,0.002169,0.001254,0.001395,0.001395,68488510
11-09-2017,0.001397,0.001578,0.000626,0.000853,0.000853,74876590
18-09-2017,0.000853,0.000983,0.000712,0.000892,0.000892,36490930
25-09-2017,0.00089,0.001194,0.000889,0.001084,0.001084,42891910
02-10-2017,0.001075,0.001136,0.000938,0.001056,0.001056,15201470
09-10-2017,0.001056,0.001165,0.000952,0.001106,0.001106,21778030
16-10-2017,0.001107,0.001254,0.000959,0.001023,0.001023,27435280
23-10-2017,0.001022,0.001237,0.000959,0.001173,0.001173,34674820
30-10-2017,0.001224,0.001242,0.00105,0.001182,0.001182,20671180
06-11-2017,0.001171,0.001431,0.001002,0.001038,0.001038,23803670
13-11-2017,0.001046,0.001424,0.001019,0.001376,0.001376,17272260
20-11-2017,0.001374,0.002246,0.001302,0.002026,0.002026,72844540
27-11-2017,0.001999,0.002581,0.00189,0.002223,0.002223,45487950
04-12-2017,0.002206,0.002858,0.002178,0.002547,0.002547,63863880
11-12-2017,0.002563,0.007628,0.002534,0.005984,0.005984,335636832
18-12-2017,0.005938,0.008948,0.004742,0.008582,0.008582,587622512
25-12-2017,0.008649,0.010729,0.007388,0.008972,0.008972,598169592
01-01-2018,0.009031,0.018773,0.008101,0.017088,0.017088,1099660896
08-01-2018,0.017115,0.017664,0.010987,0.011684,0.011684,692094900
15-01-2018,0.011631,0.011779,0.005499,0.007131,0.007131,322553100
22-01-2018,0.007199,0.007982,0.006228,0.007465,0.007465,121946500
29-01-2018,0.007401,0.007522,0.00331,0.004399,0.004399,123325800
05-02-2018,0.004397,0.005441,0.003036,0.004956,0.004956,93298480
12-02-2018,0.004964,0.007948,0.004964,0.006424,0.006424,169254900
19-02-2018,0.00641,0.008288,0.005997,0.006142,0.006142,224945400
26-02-2018,0.006169,0.006574,0.005164,0.005502,0.005502,109193100
05-03-2018,0.005462,0.005535,0.003618,0.00421,0.00421,94235880
12-03-2018,0.004207,0.004273,0.00279,0.00319,0.00319,52124980
19-03-2018,0.003199,0.003833,0.003144,0.003505,0.003505,40954640
26-03-2018,0.003498,0.003541,0.002595,0.002719,0.002719,34097330
02-04-2018,0.002731,0.003006,0.002614,0.002843,0.002843,31377170
09-04-2018,0.002855,0.004614,0.002724,0.004571,0.004571,97813250
16-04-2018,0.004588,0.005958,0.004391,0.005539,0.005539,154719500
23-04-2018,0.005545,0.005919,0.004896,0.005459,0.005459,262612200
30-04-2018,0.005405,0.005649,0.004725,0.00497,0.00497,226729500
07-05-2018,0.004966,0.005356,0.003918,0.004329,0.004329,209848100
14-05-2018,0.004499,0.004788,0.003755,0.004423,0.004423,104941530
21-05-2018,0.004397,0.004419,0.003248,0.003424,0.003424,74481630
28-05-2018,0.003433,0.00375,0.003168,0.00369,0.00369,64107810
04-06-2018,0.003691,0.003836,0.003151,0.003182,0.003182,87399900
11-06-2018,0.00318,0.003273,0.002778,0.002873,0.002873,55773570
18-06-2018,0.002916,0.00308,0.002331,0.00251,0.00251,48911430
25-06-2018,0.00249,0.002577,0.002293,0.002489,0.002489,37597580
02-07-2018,0.002486,0.002764,0.002429,0.002611,0.002611,33547070
09-07-2018,0.002612,0.002649,0.002187,0.00238,0.00238,39226200
16-07-2018,0.002366,0.004314,0.002366,0.003458,0.003458,138353900
23-07-2018,0.003468,0.003668,0.003284,0.003307,0.003307,53636320
30-07-2018,0.003313,0.003352,0.002733,0.002837,0.002837,78669000
06-08-2018,0.002872,0.002909,0.002345,0.002404,0.002404,36858320
13-08-2018,0.002407,0.002499,0.002143,0.002473,0.002473,38371300
20-08-2018,0.002464,0.002517,0.002288,0.002404,0.002404,23309750
27-08-2018,0.002404,0.006753,0.002387,0.004999,0.004999,457795520
03-09-2018,0.005026,0.005858,0.004665,0.005829,0.005829,291110200
10-09-2018,0.00584,0.006933,0.00584,0.006531,0.006531,352849300
17-09-2018,0.00654,0.006547,0.00536,0.005901,0.005901,179783100
24-09-2018,0.005904,0.006067,0.005587,0.005906,0.005906,105097100
01-10-2018,0.005901,0.006024,0.005483,0.005562,0.005562,99294490
08-10-2018,0.005573,0.005652,0.004901,0.005158,0.005158,75880180
15-10-2018,0.005153,0.005457,0.004273,0.004517,0.004517,109732160
22-10-2018,0.004508,0.004535,0.003676,0.004063,0.004063,104879600
29-10-2018,0.004048,0.004064,0.003676,0.003676,0.003676,78319900
05-11-2018,0.003664,0.003744,0.003092,0.003162,0.003162,94179130
12-11-2018,0.003164,0.003173,0.002511,0.002643,0.002643,110694200
19-11-2018,0.002641,0.002717,0.002073,0.00222,0.00222,113134800
26-11-2018,0.002218,0.002302,0.002006,0.002246,0.002246,81486087
03-12-2018,0.002247,0.002386,0.002031,0.002102,0.002102,139199687
10-12-2018,0.002098,0.002145,0.002045,0.002125,0.002125,114046329
17-12-2018,0.002125,0.002779,0.002119,0.002542,0.002542,192956960
24-12-2018,0.00255,0.002638,0.002304,0.002367,0.002367,133850993
31-12-2018,0.00237,0.002458,0.002274,0.002328,0.002328,126577955
07-01-2019,0.002328,0.002335,0.002083,0.002094,0.002094,124492134
14-01-2019,0.002102,0.002198,0.00208,0.002119,0.002119,106798089
21-01-2019,0.002106,0.002183,0.002009,0.002027,0.002027,115450216
28-01-2019,0.002026,0.002028,0.00189,0.001904,0.001904,102662880
04-02-2019,0.001904,0.001996,0.001835,0.001946,0.001946,104866982
11-02-2019,0.001946,0.001993,0.001873,0.001992,0.001992,112825936
18-02-2019,0.001993,0.002139,0.001955,0.001974,0.001974,158134966
25-02-2019,0.001973,0.00205,0.00193,0.001999,0.001999,129824934
04-03-2019,0.002004,0.002015,0.001961,0.001999,0.001999,121013854
11-03-2019,0.002001,0.002099,0.001947,0.002081,0.002081,120486766
18-03-2019,0.002076,0.002106,0.002026,0.002054,0.002054,128892199
25-03-2019,0.002058,0.002166,0.002026,0.00208,0.00208,140243716
01-04-2019,0.002082,0.004096,0.002078,0.003418,0.003418,523813214
08-04-2019,0.003428,0.003437,0.002725,0.002882,0.002882,320448853
15-04-2019,0.002884,0.002958,0.002724,0.00276,0.00276,251913570
22-04-2019,0.002758,0.002856,0.002453,0.002531,0.002531,236112506
29-04-2019,0.002527,0.002783,0.002443,0.002653,0.002653,246496953
06-05-2019,0.002633,0.00282,0.002449,0.002665,0.002665,263665210
13-05-2019,0.002663,0.003521,0.002649,0.003178,0.003178,416476919
20-05-2019,0.003179,0.003186,0.002795,0.003092,0.003092,415622983
27-05-2019,0.003099,0.0036,0.003071,0.003398,0.003398,560819565
03-06-2019,0.003397,0.00341,0.002978,0.003012,0.003012,509138675
10-06-2019,0.003014,0.003336,0.002992,0.003186,0.003186,462888979
17-06-2019,0.003188,0.003496,0.003095,0.003304,0.003304,330987090
24-06-2019,0.003314,0.003523,0.00299,0.003258,0.003258,379898606
01-07-2019,0.00325,0.004471,0.00308,0.003633,0.003633,455708143
08-07-2019,0.003635,0.003644,0.00301,0.003014,0.003014,275995540
15-07-2019,0.00302,0.003187,0.002772,0.003076,0.003076,228795918
22-07-2019,0.003076,0.0031,0.002792,0.002859,0.002859,144894515
29-07-2019,0.002859,0.002984,0.002801,0.002938,0.002938,131074688
05-08-2019,0.002938,0.003316,0.002796,0.002898,0.002898,150046845
12-08-2019,0.002896,0.002901,0.002561,0.002723,0.002723,174748394
19-08-2019,0.002723,0.002899,0.002614,0.002662,0.002662,149496061
26-08-2019,0.002652,0.002829,0.002392,0.002492,0.002492,166948155
02-09-2019,0.002492,0.002724,0.00246,0.002501,0.002501,222284364
09-09-2019,0.002509,0.00251,0.002366,0.00246,0.00246,239547385
16-09-2019,0.002462,0.002993,0.00243,0.002592,0.002592,293177471
23-09-2019,0.002587,0.0026,0.002076,0.002223,0.002223,323371070
30-09-2019,0.002227,0.002497,0.002171,0.002346,0.002346,298691642
07-10-2019,0.002342,0.002618,0.00229,0.002447,0.002447,336530495
14-10-2019,0.002449,0.002932,0.002428,0.00273,0.00273,437574185
21-10-2019,0.002732,0.002858,0.002389,0.002654,0.002654,635400405
28-10-2019,0.002656,0.002728,0.002586,0.002637,0.002637,536270410
04-11-2019,0.002635,0.002785,0.002575,0.002775,0.002775,605746890
11-11-2019,0.002775,0.00278,0.002609,0.002648,0.002648,540367891
18-11-2019,0.002648,0.002715,0.002239,0.002365,0.002365,654701678
25-11-2019,0.002369,0.002474,0.002128,0.002292,0.002292,692603039
02-12-2019,0.002293,0.002341,0.002165,0.002238,0.002238,454508772
09-12-2019,0.002237,0.002251,0.00208,0.002154,0.002154,467039402
16-12-2019,0.002154,0.002199,0.001997,0.002115,0.002115,535675254
23-12-2019,0.002113,0.002137,0.002032,0.002068,0.002068,507818415
30-12-2019,0.00207,0.002491,0.001983,0.002419,0.002419,468372330
06-01-2020,0.002418,0.002564,0.002145,0.002381,0.002381,516584829
13-01-2020,0.002381,0.00257,0.002293,0.002405,0.002405,773521680
20-01-2020,0.002405,0.002423,0.002211,0.002305,0.002305,593808797
27-01-2020,0.002304,0.002506,0.002283,0.002468,0.002468,591998958
03-02-2020,0.002466,0.003531,0.002402,0.003232,0.003232,936039085
10-02-2020,0.003234,0.003303,0.002626,0.002774,0.002774,1150687235
17-02-2020,0.00274,0.002874,0.002547,0.00268,0.00268,1113112943
24-02-2020,0.002679,0.002687,0.002211,0.002275,0.002275,1164487373
02-03-2020,0.002278,0.002531,0.002184,0.002187,0.002187,880435818
09-03-2020,0.002189,0.002263,0.001247,0.001685,0.001685,979660129
16-03-2020,0.001684,0.001931,0.001453,0.001731,0.001731,1106711863
23-03-2020,0.001727,0.001912,0.001692,0.001723,0.001723,1162434070
30-03-2020,0.001723,0.00194,0.001717,0.001865,0.001865,1123267583
06-04-2020,0.001866,0.002044,0.001852,0.00199,0.00199,982179818
13-04-2020,0.00199,0.002073,0.001886,0.002058,0.002058,1046821744
20-04-2020,0.002058,0.002444,0.001952,0.002409,0.002409,1403354513
27-04-2020,0.00241,0.002689,0.002308,0.00251,0.00251,1942399789
04-05-2020,0.002511,0.002678,0.00236,0.002459,0.002459,1920752091
11-05-2020,0.002457,0.002623,0.002338,0.002538,0.002538,1864453008
18-05-2020,0.002537,0.002587,0.002423,0.002458,0.002458,1439258934
25-05-2020,0.002456,0.002626,0.002435,0.002555,0.002555,1395934683
01-06-2020,0.002555,0.002669,0.00252,0.002606,0.002606,1332954258
08-06-2020,0.002606,0.002607,0.002429,0.002511,0.002511,1286248178
15-06-2020,0.00251,0.00253,0.002407,0.002447,0.002447,1252961610
22-06-2020,0.002447,0.002497,0.002283,0.002326,0.002326,1160066622
29-06-2020,0.002326,0.002382,0.002277,0.002309,0.002309,932569016
06-07-2020,0.002309,0.00542,0.002302,0.00363,0.00363,2622491182
13-07-2020,0.00363,0.003753,0.002893,0.003382,0.003382,789780520
20-07-2020,0.003383,0.003433,0.003167,0.003235,0.003235,456673010
27-07-2020,0.003234,0.003797,0.00304,0.003336,0.003336,561982472
03-08-2020,0.003336,0.003636,0.003308,0.003463,0.003463,459248255
10-08-2020,0.003468,0.003607,0.003341,0.003524,0.003524,469028746
17-08-2020,0.003524,0.003718,0.003354,0.003414,0.003414,382034187
24-08-2020,0.00341,0.003465,0.003165,0.0033,0.0033,515092789
31-08-2020,0.003301,0.003308,0.002704,0.002787,0.002787,489073241
07-09-2020,0.002787,0.002859,0.0027,0.002776,0.002776,716537232
14-09-2020,0.002776,0.002878,0.002722,0.002778,0.002778,979442596
21-09-2020,0.002778,0.002802,0.002558,0.002701,0.002701,277140888
28-09-2020,0.002701,0.002739,0.002544,0.002646,0.002646,247148337
05-10-2020,0.002646,0.002716,0.002573,0.002674,0.002674,352124745
12-10-2020,0.002634,0.002653,0.002557,0.002586,0.002586,486961071
19-10-2020,0.002595,0.002691,0.002572,0.002653,0.002653,396806315
26-10-2020,0.002653,0.002893,0.002518,0.002582,0.002582,498019672
02-11-2020,0.002582,0.002819,0.002452,0.002711,0.002711,318810939
09-11-2020,0.002711,0.002851,0.002655,0.002775,0.002775,209608354
16-11-2020,0.002775,0.00366,0.002757,0.003329,0.003329,530444023
23-11-2020,0.003329,0.004256,0.00298,0.003448,0.003448,914933941
30-11-2020,0.003448,0.00358,0.003268,0.003388,0.003388,384784411
07-12-2020,0.003388,0.0034,0.003009,0.003256,0.003256,283757645
14-12-2020,0.003256,0.004678,0.003178,0.004625,0.004625,1005405450
21-12-2020,0.004627,0.005406,0.00364,0.004548,0.004548,1695010153
28-12-2020,0.004548,0.013867,0.004278,0.009771,0.009771,6728378661
04-01-2021,0.009785,0.011421,0.007878,0.00986,0.00986,4669103304
11-01-2021,0.009858,0.01003,0.00677,0.009067,0.009067,2551797881
18-01-2021,0.00907,0.009613,0.007654,0.008727,0.008727,1391969278
25-01-2021,0.008727,0.077973,0.007294,0.037196,0.037196,45359682180
01-02-2021,0.037054,0.084357,0.029195,0.078782,0.078782,51941100416
08-02-2021,0.078352,0.084945,0.056723,0.062537,0.062537,41590422363
15-02-2021,0.062568,0.063924,0.048034,0.05598,0.05598,24457389035
22-02-2021,0.056044,0.060466,0.04241,0.048052,0.048052,16655250530
01-03-2021,0.04807,0.052397,0.047879,0.052122,0.052122,8704255861
08-03-2021,0.052123,0.063052,0.051672,0.058592,0.058592,14697916615
15-03-2021,0.058531,0.060639,0.054143,0.057234,0.057234,7641462170
22-03-2021,0.057259,0.057732,0.049697,0.053698,0.053698,5747049473
29-03-2021,0.053678,0.070111,0.052269,0.057404,0.057404,11978153026
05-04-2021,0.057411,0.079243,0.056435,0.074649,0.074649,17111651232
12-04-2021,0.074544,0.4377,0.068889,0.320475,0.320475,1.73047E+11
19-04-2021,0.320466,0.431751,0.163669,0.251111,0.251111,1.17448E+11
26-04-2021,0.25124,0.400029,0.248026,0.376046,0.376046,51655337710
03-05-2021,0.373631,0.737567,0.373631,0.57007,0.57007,2.10588E+11
10-05-2021,0.569687,0.58969,0.357175,0.514895,0.514895,98210631242
17-05-2021,0.513413,0.684735,0.218267,0.308071,0.308071,59461468677
24-05-2021,0.306715,0.38001,0.281793,0.302224,0.302224,25897491373
31-05-2021,0.301949,0.44459,0.29433,0.371807,0.371807,37662982421
07-06-2021,0.371566,0.379678,0.29666,0.324382,0.324382,17155737791
14-06-2021,0.323903,0.336927,0.256467,0.2809,0.2809,10627230130
21-06-2021,0.28066,0.289145,0.164654,0.26445,0.26445,30935547695
28-06-2021,0.264918,0.27494,0.238268,0.246483,0.246483,11849266192
05-07-2021,0.246419,0.246419,0.196607,0.215856,0.215856,10502590205
12-07-2021,0.21601,0.218965,0.16923,0.182233,0.182233,9335558088
19-07-2021,0.181818,0.21421,0.160728,0.197864,0.197864,13356668915
26-07-2021,0.19803,0.232767,0.19535,0.204437,0.204437,14923848699
02-08-2021,0.204279,0.281379,0.19375,0.240045,0.240045,19198032161
09-08-2021,0.240122,0.348722,0.23141,0.341441,0.341441,34318088606
16-08-2021,0.340165,0.350953,0.282016,0.314963,0.314963,30840040458
23-08-2021,0.314926,0.328094,0.313368,0.317914,0.317914,2836628655
24-08-2021,0.317984,0.31946,0.309601,0.310288,0.310288,2136630016
